央视频道,#genre#
东南卫视,http://60.220.167.143:8083/rtp/226.0.2.188:9416,0.8853
东南卫视,http://60.220.167.249:8083/rtp/226.0.2.188:9416,0.8698
东南卫视,http://60.220.167.202:8084/rtp/226.0.2.188:9416,0.3579
东南卫视,http://60.220.167.143:8083/rtp/226.0.2.40:8232,0.353
东南卫视,http://60.220.167.249:8083/rtp/226.0.2.40:8232,0.3479
东南卫视,http://171.121.82.184:8082/rtp/226.0.2.40:8232,0.3268
东南卫视,http://60.220.167.202:8084/rtp/226.0.2.40:8232,0.2325
东南卫视,http://183.185.167.239:8083/rtp/226.0.2.188:9416,0.1253
东南卫视,http://171.212.150.200:19999/udp/239.93.1.201:5140,0.1011
东方卫视,http://36.6.150.75:8888/rtp/238.1.78.163:7176,0.958
东方卫视,http://111.201.161.228:10000/rtp/239.3.1.136:8032,0.9549
东方卫视,http://222.128.179.212:4022/rtp/239.3.1.136:8032,0.8425
东方卫视,http://60.220.167.249:8083/rtp/226.0.2.175:9312,0.7707
东方卫视,http://60.220.167.143:8083/rtp/226.0.2.175:9312,0.5097
东方卫视,http://27.10.211.38:8001/udp/225.0.4.80:7980,0.4742
东方卫视,http://60.220.167.202:8084/rtp/226.0.2.175:9312,0.4257
东方卫视,http://27.11.252.156:8008/udp/225.0.4.80:7980,0.388
东方卫视,http://60.220.167.249:8083/rtp/226.0.2.34:8184,0.3528
东方卫视,http://60.220.167.202:8084/rtp/226.0.2.34:8184,0.3459
东方卫视,http://60.220.167.143:8083/rtp/226.0.2.34:8184,0.3367
东方卫视,http://171.121.82.184:8082/rtp/226.0.2.34:8184,0.3178
东方卫视,http://171.212.150.200:19999/udp/239.93.1.44:5140,0.1573
东方卫视,http://171.212.150.200:19999/udp/239.93.0.123:5140,0.1298
东方卫视,http://183.185.167.239:8083/rtp/226.0.2.175:9312,0.0681
云南卫视,http://60.220.167.249:8083/rtp/226.0.2.60:8392,0.3498
云南卫视,http://171.121.82.184:8082/rtp/226.0.2.60:8392,0.3281
云南卫视,http://111.201.161.228:10000/rtp/239.3.1.26:8108,0.3137
云南卫视,http://111.196.150.10:20002/rtp/239.3.1.26:8108,0.3119
云南卫视,http://60.220.167.202:8084/rtp/226.0.2.60:8392,0.2863
云南卫视,http://60.220.167.143:8083/rtp/226.0.2.60:8392,0.2779
云南卫视,http://117.29.232.157:9999/rtp/239.61.2.61:8360,0.276
云南卫视,http://117.85.152.52:9999/rtp/239.49.8.227:6000,0.1791
云南卫视,http://183.185.167.239:8083/rtp/226.0.2.60:8392,0.1738
兵团卫视,http://36.6.150.75:8888/rtp/238.1.78.104:6704,0.323
兵团卫视,http://111.201.161.228:10000/rtp/239.3.1.144:4120,0.3177
兵团卫视,http://171.121.82.184:8082/rtp/226.0.2.62:8408,0.2927
